,metric1,metric2,spearman,kendall-tau
0,issues_max_per_day,issues_count,0.936,0.817
1,repo_age_days,commits_days_since_first,0.957,0.913
2,repo_network_members,forks_count,0.956,0.951
3,pulls_total_lines_added,pulls_count,0.965,0.875
4,pulls_total_lines_removed,pulls_count,0.925,0.841
5,pulls_total_lines_removed,pulls_total_lines_added,0.94,0.89
6,pulls_avg_lines_added,pulls_count,0.939,0.825
7,pulls_avg_lines_added,pulls_total_lines_added,0.993,0.953
8,pulls_avg_lines_added,pulls_total_lines_removed,0.929,0.864
9,pulls_avg_lines_removed,pulls_total_lines_added,0.91,0.847
10,pulls_avg_lines_removed,pulls_total_lines_removed,0.979,0.937
11,pulls_avg_lines_removed,pulls_avg_lines_added,0.911,0.861
12,pulls_avg_Commits,pulls_count,0.933,0.824
13,pulls_avg_Commits,pulls_total_lines_added,0.962,0.874
14,pulls_avg_Commits,pulls_total_lines_removed,0.905,0.816
15,pulls_avg_Commits,pulls_avg_lines_added,0.962,0.883
16,pulls_avg_title_length,pulls_count,0.921,0.777
17,pulls_avg_files_changed,pulls_count,0.933,0.821
18,pulls_avg_files_changed,pulls_total_lines_added,0.972,0.896
19,pulls_avg_files_changed,pulls_total_lines_removed,0.919,0.839
20,pulls_avg_files_changed,pulls_avg_lines_added,0.973,0.911
21,pulls_avg_files_changed,pulls_avg_lines_removed,0.902,0.835
22,pulls_avg_files_changed,pulls_avg_Commits,0.984,0.942
23,pulls_avg_files_changed,pulls_avg_title_length,0.9,0.74
24,pulls_avg_created_per_day_real,pulls_count,0.957,0.882
25,pulls_avg_created_per_day_real,pulls_total_lines_added,0.952,0.86
26,pulls_avg_created_per_day_real,pulls_total_lines_removed,0.901,0.821
27,pulls_avg_created_per_day_real,pulls_avg_lines_added,0.947,0.858
28,pulls_avg_created_per_day_real,pulls_avg_Commits,0.965,0.91
29,pulls_avg_created_per_day_real,pulls_avg_title_length,0.954,0.861
30,pulls_avg_created_per_day_real,pulls_avg_files_changed,0.962,0.901
31,pulls_max_created_per_day,pulls_count,0.974,0.918
32,pulls_max_created_per_day,pulls_total_lines_added,0.948,0.849
33,pulls_max_created_per_day,pulls_avg_lines_added,0.931,0.821
34,pulls_max_created_per_day,pulls_avg_Commits,0.932,0.835
35,pulls_max_created_per_day,pulls_avg_title_length,0.937,0.822
36,pulls_max_created_per_day,pulls_avg_files_changed,0.932,0.831
37,pulls_max_created_per_day,pulls_avg_created_per_day_real,0.967,0.919
38,releases_tags,releases_count,1.0,1.0
39,releases_avg_title_length,releases_count,0.961,0.852
40,releases_avg_title_length,releases_tags,0.961,0.852
41,releases_avg_assets_downloads,releases_total_downloads,0.996,0.955
42,releases_avg_assets_size,releases_total_downloads,0.995,0.943
43,releases_avg_assets_size,releases_avg_assets_downloads,0.993,0.927
44,stars_count,repo_watchers,0.999,0.998
45,wf_count,repo_workflows,0.975,0.957
46,wf_avg_duration,repo_workflows,0.975,0.949
47,wf_avg_duration,wf_count,0.999,0.979
48,wf_avg_success_duration,repo_workflows,0.974,0.948
49,wf_avg_success_duration,wf_count,0.983,0.962
50,wf_avg_success_duration,wf_avg_duration,0.984,0.979
51,wf_avg_successes_per_day_real,repo_workflows,0.975,0.955
52,wf_avg_successes_per_day_real,wf_count,0.983,0.968
53,wf_avg_successes_per_day_real,wf_avg_duration,0.983,0.955
54,wf_avg_successes_per_day_real,wf_avg_success_duration,0.998,0.97
